date,invested,portfolio_value,benchmark_value
2018-10-24,12550.394370526965,16382.12702077743,14709.524213009947
2018-10-25,12550.394370526965,17163.246576745147,14983.457121000924
2018-10-26,12550.394370526965,16545.089599843057,14723.875024305573
2018-10-29,12631.544379767322,16010.854012022071,14708.63134294076
2018-10-30,12631.544379767322,16147.156655469633,14940.373800234878
2018-10-31,12631.544379767322,16711.351382829096,15103.007603671873
2018-11-01,12631.544379767322,16950.870069712357,15262.883598389593
2018-11-02,12631.544379767322,16763.396299779306,15167.811988342646
2018-11-05,12631.544379767322,16529.681954974352,15253.179078264899
2018-11-06,12631.544379767322,16745.78200857818,15349.853458618309
2018-11-07,12631.544379767322,17427.81547277021,15675.59763901101
2018-11-08,12631.544379767322,17288.65452212763,15644.488512865466
2018-11-09,12631.544379767322,16974.177200617305,15503.26068886004
2018-11-12,12925.614375647448,16732.919645492766,15491.866286991288
2018-11-13,12925.614375647448,16726.62224870187,15469.445518427094
2018-11-14,12925.614375647448,16612.161899525105,15356.392485404027
2018-11-15,12925.614375647448,16826.040295237963,15524.093954324895
2018-11-16,12925.614375647448,16687.044568446745,15559.731986455408
2018-11-19,12925.614375647448,15986.302312781956,15301.228854824265
2018-11-20,12925.614375647448,15837.800519986522,15024.632309960305
2018-11-21,12925.614375647448,16002.707998538875,15071.596225180685
2018-11-22,12925.614375647448,16002.586981386192,15071.596225180685
2018-11-23,12925.614375647448,15834.969413202014,14973.597236763979
2018-11-26,13187.044372137927,16611.101108635004,15469.389014081919
2018-11-27,13187.044372137927,16627.629239851703,15519.989845885953
2018-11-28,13187.044372137927,17314.4499475488,15877.547886398088
2018-11-29,13187.044372137927,17316.408138635266,15846.546279205502
2018-11-30,13187.044372137927,17486.289700070745,15979.011575533184
2018-12-03,13187.044372137927,17871.937515535818,16153.85238059903
2018-12-04,13187.044372137927,17076.162352852778,15631.953068775356
2018-12-05,13187.044372137927,17076.070223428418,15631.953068775356
2018-12-06,13187.044372137927,17302.999955951025,15613.054477638343
2018-12-07,13187.044372137927,16738.520054470922,15251.44216171615
2018-12-10,13187.044372137927,16857.613065233058,15278.449303673302
2018-12-11,13187.044372137927,16920.48225300724,15273.782685998978
2018-12-12,13187.044372137927,17088.917408405432,15356.696676682524
2018-12-13,13187.044372137927,17077.43669517937,15356.493037278366
2018-12-14,13187.044372137927,16629.6921772164,15065.25593614028
2018-12-17,13225.304374778929,16147.957542649378,14791.396542380358
2018-12-18,13225.304374778929,16395.7994262928,14793.618113347924
2018-12-19,13225.304374778929,16055.843139058648,14567.240602851403
2018-12-20,13225.304374778929,15769.703645150066,14337.821995850441
2018-12-21,13225.304374778929,15130.322452210397,14042.641461622074
2018-12-24,13225.304374778929,14865.550843695804,13662.95842142579
2018-12-25,13225.304374778929,14865.487533460098,13662.95842142579
2018-12-26,13225.304374778929,15927.24121479204,14340.834537458124
2018-12-27,13225.304374778929,15948.238569817762,14464.958390418822
2018-12-28,13225.304374778929,15972.667864064437,14449.37312776979
2018-12-31,13225.304374778929,16084.824396903454,14573.966708782109
2019-01-01,13225.304374778929,16084.859602382907,14573.966708782109
2019-01-02,13225.304374778929,16241.309607598125,14592.504547755636
2019-01-03,13225.304374778929,15750.949334365043,14235.012945572733
2019-01-04,13225.304374778929,16511.87408191372,14723.76426941548
2019-01-07,13225.304374778929,16738.05857546713,14827.01020961354
2019-01-08,13225.304374778929,16910.636371101315,14971.106785109721
2019-01-09,13225.304374778929,16916.303123682053,15037.248492463985
2019-01-10,13225.304374778929,16945.968353170236,15105.173453120608
2019-01-11,13225.304374778929,16831.01829854176,15103.008991946554
2019-01-14,13225.304374778929,16684.862317259624,15025.318256599629
2019-01-15,13225.304374778929,17150.57576049238,15186.723382764016
2019-01-16,13225.304374778929,17173.77562402233,15220.847912131418
2019-01-17,13225.304374778929,17315.500679238074,15337.895861676148
2019-01-18,13225.304374778929,17361.004611551583,15540.529975520656
2019-01-21,13225.304374778929,17361.164250042973,15540.529975520656
2019-01-22,13335.904365287985,16991.464087413333,15431.74126651405
2019-01-23,13335.904365287985,17062.695214370706,15465.728173717245
2019-01-24,13335.904365287985,17172.968168934094,15487.521842950744
2019-01-25,13335.904365287985,17414.996480253816,15619.522020622273
2019-01-28,13335.904365287985,17175.56259709617,15496.91663286182
2019-01-29,13335.904365287985,16927.012142756594,15474.622521735007
2019-01-30,13335.904365287985,17464.92986308978,15716.97732714058
2019-01-31,13335.904365287985,17839.13107034463,15855.486125528092
2019-02-01,13335.904365287985,17530.075756487477,15871.86121702013
2019-02-04,13374.434364067281,17818.376170100728,16018.211996935692
2019-02-05,13374.434364067281,18051.958606186363,16093.78938758062
2019-02-06,13374.434364067281,17834.009667075003,16059.543224778508
2019-02-07,13374.434364067281,17564.388208579378,15911.607355032073
2019-02-08,13374.434364067281,17494.076605479437,15927.638485920741
